frame_timestamp,Frame Number,X,Y,Z,velocity,snr,target_id
22:21:21:078,54,-0.101834044,0.30729422,0.6862228,-0.6958,244.87999,1
22:21:21:078,54,-0.12132451,0.36610863,0.7968139,-1.11328,22.76,1
22:21:21:078,54,-0.09257078,0.31021053,0.6862228,-0.6958,249.87999,1
22:21:21:078,54,-0.10028756,0.3360699,0.74342686,-0.6958,133.87999,1
22:21:21:078,54,-0.08634847,0.31199977,0.6862228,-0.6958,240.76,1
22:21:21:078,54,-0.09354654,0.3380083,0.74342686,-0.6958,132.76,1
22:21:21:078,54,-0.07695103,0.31444943,0.6862228,-0.6958,217.87999,1
22:21:21:078,54,-0.08336573,0.3406622,0.74342686,-0.6958,126.88,1
22:21:21:078,54,-0.20953357,0.8562292,-1.8211282,0.20888,5.0,255
22:21:21:078,54,-0.07064707,0.31592548,0.6862228,-0.6958,186.64,1
22:21:21:078,54,-0.07653627,0.34226125,0.74342686,-0.6958,116.88,1
22:21:21:078,54,-0.06431485,0.31727514,0.6862228,-0.6958,153.23999,1
22:21:21:078,54,-0.06967618,0.34372345,0.74342686,-0.6958,104.36,1
22:21:21:078,54,-0.054769088,0.31906155,0.6862228,-0.6958,122.64,1
22:21:21:078,54,-0.05933468,0.34565878,0.74342686,-0.6958,90.88,1
22:21:21:078,54,-0.048377328,0.32009304,0.6862228,-0.6958,97.0,1
22:21:21:078,54,-0.0524101,0.34677625,0.74342686,-0.6958,77.759995,1
22:21:21:078,54,-0.04196622,0.3209965,0.6862228,-0.6958,76.52,1
22:21:21:078,54,-0.045464557,0.347755,0.74342686,-0.6958,65.88,1
22:21:21:078,54,-0.04919166,0.3490704,-0.88055795,0.41748002,14.5199995,255
22:21:21:078,54,-0.032318886,0.32211086,0.6862228,-0.6958,60.52,1
22:21:21:078,54,-0.035013013,0.34896228,0.74342686,-0.6958,55.64,1
22:21:21:078,54,-0.025870634,0.32269278,0.6862228,-0.6958,48.239998,1
22:21:21:078,54,0.02643224,0.44000855,0.91067666,0.20888,16.88,1
22:21:21:133,55,-0.620477,0.7218805,0.62365127,0.34804,5.24,1
